Field,ID,Type (種類),default,ja,en
Description,2,テキスト,,"VdLabel は、Windows の仮想デスクトップを"見える化"して、作業の切り替えをぐっとスムーズにするデスクトップ支援ツールです。各デスクトップに名前や画像のラベルを設定でき、切り替え時にオーバーレイで大きく表示。どの環境で何をしていたかが一目でわかります。

さらに、アプリ起動時に指定したウィンドウを自動で特定の仮想デスクトップへ移動。毎回の手動整頓から解放され、起動直後から"仕事用"、"学習用"、"配信・編集用"などの最適な作業空間がすぐ整います。

Windows 起動と同時に自動起動させる設定にも対応。日々のルーティンの中で、VdLabel が静かに環境を整えてくれます。

ユニークなのは、任意のコマンド実行結果をラベルに表示できること。たとえば現在時刻や Git のブランチ名、システム情報など、ひと目で把握したい情報をデスクトップ名と一緒に表示できます。

切り替え操作も快適です。標準の Win + Ctrl + ←/→ に加えて、テンキーのショートカットで特定番号のデスクトップへ瞬時にジャンプ可能（一覧表示からの選択切り替えも用意しています。

毎日のタスクが多い人ほど、仮想デスクトップの見える化と瞬間切り替えの恩恵は大きくなります。VdLabel で、あなたの"作業ごとの最適空間"を、より直感的に、より速く。","VdLabel is a desktop productivity tool that ""visualizes"" Windows virtual desktops, making work switching incredibly smooth. You can set name and image labels for each desktop, and they display prominently as overlays when switching. You can see at a glance what you were doing in each environment.

Furthermore, when launching apps, specified windows automatically move to specific virtual desktops. You're freed from manual organization every time, and optimal workspaces like ""work,"" ""study,"" and ""streaming/editing"" are ready immediately after startup.

It also supports automatic startup settings that launch with Windows. VdLabel quietly organizes your environment as part of your daily routine.

What's unique is the ability to display arbitrary command execution results in labels. For example, you can display information you want to grasp at a glance, such as current time, Git branch names, and system information, alongside desktop names.

Switching operations are also comfortable. In addition to the standard Win + Ctrl + ←/→, you can instantly jump to specific numbered desktops with numpad shortcuts (selection switching from list display is also available).

The more daily tasks you have, the greater the benefits of virtual desktop visualization and instant switching become. With VdLabel, make your ""optimal workspace for each task"" more intuitive and faster."
ReleaseNotes,3,テキスト,,,
Title,4,テキスト,,VdLabel,VdLabel
ShortTitle,5,テキスト,,,
SortTitle,6,テキスト,,,
VoiceTitle,7,テキスト,,,
ShortDescription,8,テキスト,,仮想デスクトップに名前と画像を付けて一目で識別。ショートカットで瞬時に切替できる支援ツール。,Add names and images to virtual desktops for instant identification. A productivity tool that enables instant switching with shortcuts.
DevStudio,9,テキスト,,StudioFreesia,StudioFreesia
CopyrightTrademarkInformation,12,テキスト,,,
AdditionalLicenseTerms,13,テキスト,,,
DesktopScreenshot1,100,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3039393524754333449,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3039393524754333449
DesktopScreenshot2,101,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3045394756518226873,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3045394756518226873
DesktopScreenshot3,102,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3061442487244928288,https://developer.microsoft.com/en-us/dashboard/apps/9NR0WT1C5MZ2/submissions/1152921505700023997/listings/1152922700022513089/listingassets/3061442487244928288
DesktopScreenshot4,103,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot5,104,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot6,105,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot7,106,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot8,107,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot9,108,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot10,109,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot11,110,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot12,111,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot13,112,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot14,113,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot15,114,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot16,115,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot17,116,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot18,117,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot19,118,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot20,119,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot21,120,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot22,121,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot23,122,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot24,123,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot25,124,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot26,125,相対パス (またはパートナー センターにあるファイルへの URL),,,
DesktopScreenshot27,126,相対パス (またはパートナー センターにあるファイルへの URL),,,
